loopid,lat,lon,direction
005es16272_MS,47.567435,-122.320378,S
005es16302_MS,47.571736,-122.319878,S
005es16396_MS,47.585309,-122.320011,S
005es16429_MS,47.590297,-122.320831,S
005es16513_MS,47.60131,-122.323984,S
005es16551_MS,47.606038,-122.328769,S
005es16583_MS,47.610236,-122.331017,S
005es16640_MS,47.618243,-122.328356,S
005es16661_MS,47.621256,-122.328176,S
005es16701_MS,47.627029,-122.328122,S
005es16732_MS,47.630906,-122.325201,S
005es16272_MN,47.567435,-122.320378,N
005es16302_MN,47.571736,-122.319878,N
005es16319_MN,47.574333,-122.319754,N
005es16377_MN,47.582716,-122.31961,N
005es16426_MN,47.58986,-122.32072,N
005es16466_MN,47.595287,-122.320288,N
005es16513_MN,47.60131,-122.323984,N
005es16551_MN,47.606038,-122.328769,N
005es16583_MN,47.610236,-122.331017,N
005es16640_MN,47.618243,-122.328356,N
005es16704_MN,47.627455,-122.328014,N
005es16732_MN,47.630906,-122.325201,N
099es02951_MS,47.58052579,-122.3392717,S
099es03052_MS,47.59443413,-122.3342798,S
099es03072_MS,47.59720742,-122.33505,S
099es03125_MS,47.60406891,-122.3383343,S
099es03168_MS,47.60938393,-122.3433121,S
099es03217_MS,47.61551869,-122.3459551,S
099es03271_MS,47.62260945,-122.343878,S
099es03329_MS,47.63093477,-122.3434556,S
099es02951_MN,47.58052579,-122.3392717,N
099es03052_MN,47.59443413,-122.3342798,N
099es03072_MN,47.59720742,-122.33505,N
099es03125_MN,47.60406891,-122.3383343,N
099es03168_MN,47.60938393,-122.3433121,N
099es03217_MN,47.61551869,-122.3459551,N
099es03271_MN,47.62260945,-122.343878,N
099es03329_MN,47.63093477,-122.3434556,N
